Object;Property;Min;Max;Mean;Std_dev;P10;P20;P30;P40;P50;P60;P70;P80;P90
SparseH1SurfTrunc;GemPy_OrientationError (dega);3.800631523132324;77.70295715332031;17.216690123522724;12.792090772463563;5.7607293128967285;7.328434467315674;8.893782615661621;10.559362411499023;12.108738899230957;16.004284858703613;20.58378791809082;26.692989349365234;35.43138122558594
SparseH2SurfTrunc;GemPy_OrientationError (dega);1.2687770128250122;61.028141021728516;9.260226937146646;8.981202165661658;2.419112777709961;3.1299594879150394;3.9751157760620117;4.79256763458252;5.839293956756592;7.78030309677124;10.319461250305174;12.675929737091066;20.631621551513668
SparseH3TestSurfTrunc;GemPy_OrientationError (dega);0.6886050701141357;89.32833862304688;22.960247432834166;18.842031178686305;2.653840112686157;5.933034086227417;9.940563774108886;14.427920436859132;17.079212188720703;22.917822647094727;30.152245330810544;37.820747756958006;51.31406402587892
SparseH4SurfTrunc;GemPy_OrientationError (dega);0.37092551589012146;11.67043399810791;1.9866085629184524;1.583872399476708;0.7917608857154848;1.0209689497947694;1.1857550859451294;1.3223430514335632;1.524915337562561;1.8236048340797424;2.1235192775726315;2.577654528617859;3.4103087902069094
SparseH4TestSurfTrunc;GemPy_OrientationError (dega);-89.13932800292969;87.97563171386719;25.611135995047434;44.43596076564602;-62.05587387084961;24.268970489501953;25.943721771240234;29.790578842163086;33.4189453125;40.16840744018555;46.05635070800781;56.20461082458496;69.34220886230469
SparseH5SurfTrunc;GemPy_OrientationError (dega);0.7439066767692566;25.552610397338867;4.490118478541766;3.1593341169459;2.300562620162964;2.7057832717895507;3.083681344985962;3.3652470111846924;3.6689231395721436;4.020033597946167;4.596921348571778;5.2566433429718025;6.68433198928833
SparseH5TestSurfTrunc;GemPy_OrientationError (dega);2.372894287109375;42.289188385009766;19.379841745522796;8.316315962367863;7.732868576049805;12.12587652206421;15.099118041992188;16.847192955017093;18.98721694946289;21.513882446289063;23.521934509277344;26.148991203308107;30.401359176635744
SparseH6TestSurfTrunc;GemPy_OrientationError (dega);0.7007627487182617;41.77778244018555;11.809572530441544;10.080626359619597;1.9174837827682498;3.017175078392029;4.092277765274048;6.268555688858032;7.801660776138306;11.31379508972168;17.70876770019531;21.847387886047365;25.789458274841312
SparseH7SurfTrunc;GemPy_OrientationError (dega);0.6982338428497314;14.622220993041992;3.9952546013840315;2.394541398112299;1.5331037402153014;2.1464614868164062;2.5269478321075436;2.879694676399231;3.4079397916793823;3.946138620376586;4.517710494995117;5.562888050079348;7.212676334381104
SparseH8TestSurfTrunc;GemPy_OrientationError (dega);0.7528255581855774;44.47567367553711;11.563034528493882;10.353233292749792;2.1758216619491577;2.8523529767990112;3.85363233089447;5.2499754428863525;7.453563451766968;9.878042221069336;14.974546909332275;22.450136184692383;26.806406021118164
SparseH9SurfTrunc;GemPy_OrientationError (dega);0.5362318158149719;59.7916259765625;16.624774815381638;12.34696942634037;2.7613495588302612;4.355011558532715;7.244664478302003;11.114421749114992;14.271307945251465;17.632739067077637;23.028347015380856;28.04601459503175;34.00964317321777
SparseH1SurfTrunc;LoopStructuralFDI_OrientationError (dega);-50.60897445678711;-1.6475138664245605;-19.00664308336046;13.84142216872507;-41.28804397583008;-29.299155235290527;-23.859561920166016;-20.624664306640625;-18.83258819580078;-15.373784065246582;-7.758099555969238;-4.093503713607788;-2.905139207839966
SparseH2SurfTrunc;LoopStructuralFDI_OrientationError (dega);-66.1220474243164;-0.44509583711624146;-19.324985105424858;16.918025280358545;-46.542852783203124;-27.895899772644043;-23.093408966064455;-19.23535747528076;-16.471023559570312;-13.807274627685553;-7.487332916259767;-2.774684906005854;-1.565927624702454
SparseH3TestSurfTrunc;LoopStructuralFDI_OrientationError (dega);-65.2924575805664;-0.35784491896629333;-16.534455122117823;15.830054728529184;-32.631690216064456;-22.78474178314209;-19.024070358276376;-16.291043663024904;-13.465087890625;-10.98481302261353;-5.799407577514648;-3.4433331251144406;-2.33264741897583
SparseH4SurfTrunc;LoopStructuralFDI_OrientationError (dega);-8.192333221435547;-0.3535167872905731;-3.297937718691764;1.691231299303806;-5.592788505554199;-4.571929454803467;-4.207359790802002;-3.691546583175659;-3.42964506149292;-2.8297857522964476;-2.260754346847535;-1.477808892726898;-1.1089575290679932
SparseH4TestSurfTrunc;LoopStructuralFDI_OrientationError (dega);-34.619346618652344;-2.320998191833496;-20.19152628353664;7.8834889955403575;-32.08477783203125;-29.93173122406006;-22.272668838500977;-20.022356033325195;-19.01234245300293;-18.057515144348145;-16.839405059814457;-15.214040756225586;-12.243755340576172
SparseH5SurfTrunc;LoopStructuralFDI_OrientationError (dega);-12.461403846740723;-0.2565925717353821;-5.3103573453890816;3.1654952101658993;-9.877720642089844;-9.049027061462404;-6.681243228912353;-5.679038238525391;-4.5048828125;-3.8361554384231566;-3.2640854358673095;-2.7227786064147947;-1.3165113210678099
SparseH5TestSurfTrunc;LoopStructuralFDI_OrientationError (dega);-42.06989669799805;-3.824183940887451;-18.94718848039049;9.948360404756391;-36.33107376098633;-25.152991104125974;-20.79638023376465;-19.661016273498532;-18.092912673950195;-15.084169960021974;-13.002875900268554;-9.717777919769286;-7.626051902770995
SparseH6TestSurfTrunc;LoopStructuralFDI_OrientationError (dega);-36.963645935058594;-0.33278682827949524;-9.755519964155697;8.23723883637142;-21.546282005310058;-15.399140930175781;-13.369619655609132;-9.645564937591553;-7.2462897300720215;-5.937632369995117;-3.6585126161575365;-2.084730005264282;-1.4761831521987894
