Object;Region;Property;Min;Max;Mean;Std_dev;P10;P20;P30;P40;P50;P60;P70;P80;P90
ResultBoxSparse;everywhere;GemPy (unitless);0.14368179440498352;0.2476559281349182;0.2025615639744377;0.027780377314060793;0.15838247239589692;0.1726448878645897;0.18800680041313172;0.20035500228404998;0.2088940590620041;0.2149699240922928;0.22004829943180085;0.2264357849955559;0.23915617167949677
ResultBoxSparse;everywhere;LoopStructuralFDI (unitless);-0.974185585975647;6.166288375854492;2.4324928108609303;1.584013669755165;0.32872464060783385;1.0551332831382756;1.560017776489258;1.9754666447639468;2.3549115657806396;2.744947028160095;3.2140576362609856;3.836647462844849;4.726378345489502
ResultBoxSparse;everywhere;LoopStructuralPLI (unitless);-0.743488609790802;6.110744953155518;2.422284199625593;1.5568471168042155;0.37223408222198495;1.077810871601105;1.5452093601226806;1.942309093475342;2.308316230773926;2.6897956848144533;3.1404369831085206;3.770464634895325;4.740614986419677
ResultBoxSparse;everywhere;MSSSparse_81x5x22 (unitless);-0.9844945073127747;6.207948207855225;2.294361589442394;1.5850669799936221;0.2963172644376755;1.0299363136291504;1.3778818249702454;1.6766307950019836;2.099358558654785;2.5486998558044434;2.998109817504883;3.639069437980652;4.716308116912842
ResultBoxSparse;everywhere;SIGMA_s10 (unitless);-1.013012409210205;6.325592517852783;2.334813213074555;1.5909062618310001;0.34892081618309023;1.062302041053772;1.4509575843811033;1.7776568293571473;2.099654197692871;2.540025997161865;3.0171431541442866;3.675047945976261;4.776816272735596
ResultBoxSparse;everywhere;SIGMA_s12 (unitless);-0.8483506441116333;6.193951606750488;2.3489673564009395;1.5731823217458267;0.35687910914421084;1.0531097173690798;1.4635723590850829;1.82853639125824;2.1640453338623047;2.5328947067260743;3.011258220672607;3.676910638809204;4.780637073516846
ResultBoxSparse;everywhere;SIGMA_s13 (unitless);-1.1006815433502197;6.3761138916015625;2.329960228364746;1.6001606435820839;0.34619386792182927;1.067663836479187;1.4371325731277467;1.7235090851783754;2.107781171798706;2.558140301704406;3.026816034317015;3.676780939102173;4.768462181091309
ResultBoxSparse;everywhere;StructLab_Axis (unitless);-0.9310596585273743;6.115701675415039;2.3055872757949336;1.581001464415049;0.30851136445999183;1.0315057516098023;1.3973378658294677;1.7069311261177065;2.107499361038208;2.545062685012817;3.000749683380127;3.6580032587051416;4.745464038848878
ResultBoxSparse;everywhere;StructLab_Basic (unitless);-0.9272863864898682;6.132588863372803;2.316600596987804;1.5779163857305651;0.32536956071853684;1.042450797557831;1.4197011709213254;1.738960897922516;2.1183393001556396;2.54944097995758;3.0060484886169436;3.665071797370911;4.7463670730590835
ResultBoxSparse;everywhere;SurfE_MQ (unitless);-0.09964010119438171;0.8066132068634033;0.36457476692131857;0.2091694735298522;0.06831128150224686;0.1579906314611435;0.2410327315330505;0.3091525614261627;0.3680635392665863;0.4209808468818664;0.470878404378891;0.5404590547084809;0.6821973562240601
ResultBoxSparse;everywhere;SurfE_R3 (unitless);-0.018760526552796364;2.541293144226074;1.274401503118215;0.7504793673833929;0.2528512835502625;0.5288881599903107;0.771513319015503;0.9453114748001099;1.1422159671783447;1.5195082187652589;1.840227055549621;2.1133198738098145;2.3574048519134525
